guName,open1,openPer1,open2,openPer2,open3,openPer3,close1,closePer1,close2,closePer2,close3,closePer3
강남구,아래방죽마을공원(율현초등학교),29,논현목련공원,24,윗방죽마을공원,24,국기원,20,윗방죽마을공원,17,논현2동주민센터,17
강동구,고덕 골목형상점가,38,중앙보훈병원,22,천일초등학교,20,길동신동아아파트,17,강일동주민센터,16,둔촌2동주민센터,16
강북구,수유재래시장,26,우이골목시장(우이시장),18,국립재활원,18,수유재래시장,20,화계중학교,17,삼양골목시장(삼양시장),17
강서구,마곡역(마곡),52,양천향교역 7번,30,우장산힐스테이트,24,등마루시장,25,양천향교역 7번,22,우장산힐스테이트,21
관악구,관악동부센트레빌아파트(은천로35라길),37,봉천역 6번,28,보라매동주민센터(당곡고등학교),21,봉천제일종합시장,23,난향초등학교,22,신대방역 1번,21
광진구,광진초등학교,26,면곡골목시장,20,어린이대공원역 4번,19,중곡1동주민센터,17,아차산역 5번,15,건대입구역(건대),15
구로구,G타워,23,그라운드 고척,22,서울공연예술고등학교,17,그라운드 고척,20,수궁동주민센터,16,개봉중학교,16
금천구,독산역 1번 출입구,40,금천파출소,26,독산동 맛나는거리상점가(독산동 맛나는거리),26,금천파출소,20,독산동 맛나는거리상점가(독산동 맛나는거리),17,독산119안전센터,16
노원구,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),31,시영B상가(중계 그린아파트 B 상가),30,월계역 3번,29,시영B상가(중계 그린아파트 B 상가),23,월계역 3번,23,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),21
도봉구,창동중학교,23,신한은행 방학동지점,20,문이교,20,누원고등학교,18,연산군묘,18,신한은행 방학동지점,17
동대문구,홍릉근린공원,20,답십리시장,17,경희대학교(경희대),16,회기역 2번,27,회기시장,19,답십리시장,17
동작구,대방역 3번,26,상도역 1번,18,상도4동주민센터,18,예술인마을,20,장승배기역 5번,19,본동인정시장(기능상실),18
마포구,광흥창역 1번,26,연트럴파크(연남동주민센터),24,양원초등학교,23,염리초등학교,26,광흥창역 1번,20,홍대소상공인상점가,19
서대문구,신촌 상인회(신촌상점가),32,홍제역 3번,30,연희임광아파트,24,홍제역 3번,17,신촌 상인회(신촌상점가),16,연희초등학교,16
서초구,삼성전자서울R&D(서울우면초등학교),34,한전아트센터,24,내방역 6번,22,삼성전자서울R&D(서울우면초등학교),23,잠원역,22,한전아트센터,18
성동구,서울숲역 1번,30,서울숲카페거리,29,성수역 골목형상점가,23,금북초등학교,16,한양대역 4번,15,금동어린이공원,13
성북구,우리은행체육관,20,미아초등학교,20,안암역,19,새석관시장,29,동덕여대,18,보문역 5번,17
송파구,문정역,19,송파역 2번,17,송파나루역 1번(송리단길),16,개미어린이공원,16,방이동먹자골목,14,송파사거리(송파역),14
양천구,목동센트럴아이파크앞,22,신정3동 골목시장,21,신정2동 골목시장(오목교중앙시장),20,목동문화체육센터,20,신정3동 골목시장,18,양목초등학교,14
영등포구,서울시립영등포장애인복지관,33,신길새마을금고신길4동지점,32,신풍역 3번,28,한림대학교한강성심병원,27,신풍역 3번,25,신풍역 3번,25
용산구,한남초등학교,25,신흥시장,22,삼각지역 14번,20,삼각지역 14번,28,리움미술관,16,해방촌 남동측,14
은평구,구파발역,45,증산종합시장,22,하나고등학교,18,연신초등학교,18,구파발역,17,불광역 3번,16
종로구,종각지하쇼핑센터,100,사직공원(한국사회과학도서관),34,체부동홍종문가옥,23,종각지하쇼핑센터,100,수족관거리,20,서울대병원,18
중구,회현역 1번,20,명동역지하도상가,17,시청역_1번,14,을지로2가,17,회현역 1번,16,경향신문사,16
중랑구,세화어린이공원,42,신내역 2번,40,배꽃어린이공원,26,세화어린이공원,57,화랑대역 7번,20,장스여성병원,20
