guName,CS11,CS12,CS13,CS21,CS22,CS23,CS31,CS32,CS33
강남구,한식음식점,커피-음료,분식전문점,부동산중개업,일반의원,미용실,일반의류,화장품,전자상거래업
강동구,한식음식점,커피-음료,호프-간이주점,부동산중개업,미용실,일반교습학원,일반의류,화장품,슈퍼마켓
강북구,한식음식점,호프-간이주점,분식전문점,미용실,부동산중개업,노래방,일반의류,슈퍼마켓,화장품
강서구,한식음식점,분식전문점,호프-간이주점,부동산중개업,미용실,피부관리실,일반의류,화장품,청과상
관악구,한식음식점,분식전문점,호프-간이주점,부동산중개업,미용실,노래방,일반의류,화장품,슈퍼마켓
광진구,한식음식점,커피-음료,호프-간이주점,부동산중개업,미용실,노래방,일반의류,화장품,컴퓨터및주변장치판매
구로구,한식음식점,호프-간이주점,분식전문점,부동산중개업,미용실,노래방,조명용품,일반의류,화장품
금천구,한식음식점,호프-간이주점,분식전문점,부동산중개업,미용실,노래방,일반의류,전자상거래업,조명용품
노원구,한식음식점,분식전문점,커피-음료,미용실,일반교습학원,부동산중개업,일반의류,화장품,슈퍼마켓
도봉구,한식음식점,호프-간이주점,분식전문점,미용실,부동산중개업,노래방,일반의류,슈퍼마켓,화장품
동대문구,한식음식점,분식전문점,커피-음료,부동산중개업,미용실,자동차수리,일반의류,자동차부품,청과상
동작구,한식음식점,커피-음료,분식전문점,부동산중개업,미용실,일반교습학원,일반의류,수산물판매,화장품
마포구,한식음식점,커피-음료,분식전문점,부동산중개업,미용실,여행사,일반의류,화장품,전자상거래업
서대문구,한식음식점,분식전문점,커피-음료,미용실,부동산중개업,일반의원,일반의류,화장품,슈퍼마켓
서초구,한식음식점,커피-음료,분식전문점,변호사사무소,부동산중개업,법무사사무소,일반의류,화장품,컴퓨터및주변장치판매
성동구,한식음식점,커피-음료,분식전문점,부동산중개업,미용실,자동차수리,육류판매,일반의류,전자상거래업
성북구,한식음식점,분식전문점,커피-음료,미용실,부동산중개업,일반의원,일반의류,화장품,슈퍼마켓
송파구,한식음식점,커피-음료,분식전문점,부동산중개업,미용실,일반교습학원,청과상,일반의류,수산물판매
양천구,한식음식점,호프-간이주점,분식전문점,미용실,일반교습학원,부동산중개업,일반의류,화장품,슈퍼마켓
영등포구,한식음식점,커피-음료,분식전문점,부동산중개업,미용실,세무사사무소,일반의류,화장품,슈퍼마켓
용산구,한식음식점,커피-음료,양식음식점,부동산중개업,미용실,여관,컴퓨터및주변장치판매,일반의류,전자상거래업
은평구,한식음식점,분식전문점,호프-간이주점,부동산중개업,미용실,일반교습학원,일반의류,화장품,슈퍼마켓
종로구,한식음식점,커피-음료,분식전문점,여행사,부동산중개업,여관,시계및귀금속,일반의류,조명용품
중구,한식음식점,분식전문점,커피-음료,여행사,부동산중개업,세무사사무소,일반의류,슈퍼마켓,신발
중랑구,한식음식점,호프-간이주점,분식전문점,미용실,부동산중개업,노래방,일반의류,슈퍼마켓,화장품
