"guName","total","male","female","age10","age20","age30","age40","age50","age60","house","apt","nonApt"
"동대문구","137541","70022","67519","12781","28441","20942","18391","20762","36224","80081","0","80081"
"중랑구","191411","95701","95710","19974","29341","28938","27220","34753","51185","99273","0","99273"
"은평구","219855","104701","115154","25985","33502","31370","33664","35988","59346","106523","0","106523"
"강남구","188582","89500","99082","21214","33790","41095","32972","25571","33940","108009","0","108009"
"성동구","94093","47827","46266","9114","18266","14101","12760","15950","23902","52179","0","52179"
"성북구","149216","71814","77402","15324","30268","20470","20139","23279","39736","80478","0","80478"
"종로구","88571","44146","44425","9331","14584","11641","12593","15257","25165","48729","0","48729"
"영등포구","144187","72865","71322","11972","28590","28258","19227","21250","34890","88137","0","88137"
"강동구","207500","102486","105014","24336","32020","33753","31005","34240","52146","102452","0","102452"
"광진구","197600","95276","102324","20032","40567","34621","27469","30227","44684","107254","0","107254"
"마포구","165350","77171","88179","16664","34336","31417","25075","22522","35336","93727","0","93727"
"양천구","171901","84667","87234","23869","24604","24056","27247","29002","43123","78765","0","78765"
"구로구","151660","75799","75861","15206","24538","23502","21854","25136","41424","81539","0","81539"
"중구","66715","33583","33132","5364","11470","10458","8980","11110","19333","39032","0","39032"
"용산구","123062","59767","63295","11816","19727","21577","18276","19401","32265","68983","0","68983"
"노원구","77565","39022","38543","8982","14394","9285","11213","13149","20542","39653","0","39653"
"관악구","235464","120007","115457","17981","63052","45049","30056","29774","49552","149537","0","149537"
"서대문구","105116","50195","54921","10636","22957","15224","14280","15385","26634","58532","0","58532"
"서초구","157798","75509","82289","20915","25596","30224","26233","22795","32035","79102","0","79102"
"동작구","152325","73590","78735","14944","32926","26041","20718","21166","36530","85101","0","85101"
"송파구","260577","125516","135061","30138","44405","50558","39440","39953","56083","131969","0","131969"
"강서구","235011","114072","120939","27459","41550","44053","35477","34089","52383","120539","0","120539"
"강북구","142896","70110","72786","14215","22073","18569","20533","25100","42406","73565","0","73565"
"도봉구","113490","56464","57026","12591","16132","14116","16399","20574","33678","55341","0","55341"
"금천구","126646","65182","61464","11592","22777","20487","17070","22074","32646","71074","0","71074"
